university,course_name,annual_fees,admission_mode,duration
Nanyang Technological University,MSc Electrical Engineering,49761,Merit Based,2 years
University of Delhi,MSc Biotechnology,49769,University Exam,1 year
Manipal Academy of Higher Education,MSc Civil Engineering,21291,Merit Based,2 years
Vietnam National University Hanoi,MSc Civil Engineering,51102,University Exam,1 year
IIT Madras,MSc Machine Learning,44944,Entrance Exam,2 years
IIT Delhi,MSc Physics,41580,GATE,2 years
Nanyang Technological University,MSc Civil Engineering,14097,GRE,2 years
Kyoto University,MSc Chemistry,8502,University Exam,2 years
IIT Madras,MSc Data Science,57568,Interview + Test,1 year
ETH Zurich,MSc Data Science,36636,GRE,2 years
University of Tokyo,MSc Artificial Intelligence,8615,Interview + Test,2 years
Stanford University,MSc Chemistry,50878,GATE,2 years
Indian Institute of Science,MSc Mathematics,28484,GRE,1 year
University of Cambridge,MSc Physics,16473,GRE,1 year
Stanford University,MSc Chemistry,13460,Entrance Exam,1 year
Nanyang Technological University,MSc Computer Science,14408,GRE,1 year
University of Tokyo,MSc Civil Engineering,31506,University Exam,1 year
ETH Zurich,MSc Physics,55685,GATE,1 year
Nanyang Technological University,MSc Chemistry,44366,Merit Based,1 year
Harvard University,MSc Cyber Security,38539,GATE,2 years
University of Tokyo,MSc Computer Science,35866,Interview + Test,2 years
Massachusetts Institute of Technology,MSc Electrical Engineering,55883,Interview + Test,1 year
Nanyang Technological University,MSc Software Engineering,53387,GATE,1 year
University of Oxford,MSc Electrical Engineering,15893,GATE,2 years
Mahidol University,MSc Software Engineering,47647,Interview + Test,2 years
Anna University,MSc Machine Learning,10260,Merit Based,1 year
Anna University,MSc Electrical Engineering,41906,Merit Based,2 years
Nanyang Technological University,MSc Chemistry,49135,University Exam,2 years
University of Delhi,MSc Civil Engineering,17292,GATE,2 years
ETH Zurich,MSc Physics,30154,GATE,2 years
Indian Institute of Science,MCA,48267,Entrance Exam,2 years
Nanyang Technological University,MCA,50748,Interview + Test,1 year
IIT Madras,MTech Computer Science,51501,Interview + Test,1 year
University of Delhi,MSc Physics,13762,Entrance Exam,2 years
University of Tokyo,MSc Data Science,40575,Entrance Exam,1 year
University of Tokyo,MSc Machine Learning,10342,GRE,1 year
University of Tokyo,MSc Software Engineering,9028,Interview + Test,1 year
University of Oxford,MSc Electrical Engineering,27900,Entrance Exam,1 year
IIT Delhi,MSc Biotechnology,18114,University Exam,2 years
IIT Delhi,MSc Software Engineering,25563,Entrance Exam,2 years
IIT Delhi,MSc Mechanical Engineering,45965,Merit Based,1 year
National University of Singapore,MSc Biotechnology,16738,Merit Based,1 year
University of Cambridge,MSc Mathematics,56367,Merit Based,2 years
Nanyang Technological University,MSc Physics,48458,University Exam,1 year
Harvard University,MCA,30349,GRE,2 years
Stanford University,MSc Data Science,46649,Interview + Test,2 years
Manipal Academy of Higher Education,MSc Biotechnology,38340,Entrance Exam,1 year
Anna University,MSc Electrical Engineering,19137,GRE,1 year
ETH Zurich,MSc Software Engineering,48890,University Exam,1 year
Kyoto University,MBA,51677,University Exam,1 year
IIT Madras,MSc Machine Learning,10041,Merit Based,2 years
University of Cambridge,MSc Machine Learning,8289,GRE,1 year
Nanyang Technological University,MBA,36040,Interview + Test,2 years
Stanford University,MSc Business Analytics,11313,University Exam,2 years
Chulalongkorn University,MSc Computer Science,26011,University Exam,2 years
Mahidol University,MSc Software Engineering,10095,Interview + Test,2 years
Nanyang Technological University,MSc Biotechnology,8476,University Exam,1 year
IIT Bombay,MSc Artificial Intelligence,47424,GRE,2 years
Massachusetts Institute of Technology,MSc Electrical Engineering,45382,Entrance Exam,2 years
University of Oxford,MSc Business Analytics,42987,University Exam,2 years
IIT Delhi,MSc Machine Learning,56204,University Exam,1 year
Stanford University,MSc Data Science,38105,Interview + Test,1 year
ETH Zurich,MBA,47741,Entrance Exam,1 year
Vietnam National University Hanoi,MSc Electrical Engineering,52356,Entrance Exam,1 year
Anna University,MSc Data Science,21835,University Exam,2 years
National University of Singapore,MSc Physics,37616,GATE,2 years
ETH Zurich,MSc Chemistry,59985,University Exam,1 year
University of Oxford,MSc Business Analytics,21838,Merit Based,2 years
National University of Singapore,MSc Physics,22624,GRE,1 year
University of Cambridge,MSc Mechanical Engineering,29373,GRE,2 years
University of Tokyo,MSc Business Analytics,31388,Merit Based,1 year
Indian Institute of Science,MBA,21545,Entrance Exam,1 year
Kyoto University,MSc Electrical Engineering,56983,GRE,1 year
National University of Singapore,MSc Physics,21500,Merit Based,2 years
Kyoto University,MSc Biotechnology,11502,Entrance Exam,1 year
IIT Bombay,MSc Electrical Engineering,41723,Interview + Test,1 year
Anna University,MSc Physics,46528,GRE,2 years
Anna University,MSc Chemistry,58233,University Exam,2 years
IIT Delhi,MSc Mechanical Engineering,11583,Merit Based,1 year
IIT Delhi,MSc Machine Learning,22322,Entrance Exam,1 year
University of Delhi,MSc Machine Learning,42994,Interview + Test,1 year
Anna University,MSc Artificial Intelligence,56311,Entrance Exam,1 year
Nanyang Technological University,MSc Computer Science,18686,Merit Based,1 year
University of Tokyo,MSc Machine Learning,39974,Interview + Test,2 years
University of Tokyo,MSc Software Engineering,23107,Entrance Exam,2 years
Massachusetts Institute of Technology,MCA,52126,GATE,2 years
University of Delhi,MCA,36840,GRE,2 years
IIT Madras,MSc Mechanical Engineering,16732,Entrance Exam,1 year
Anna University,MSc Electrical Engineering,46012,Merit Based,2 years
University of Delhi,MBA,39216,Merit Based,2 years
Manipal Academy of Higher Education,MSc Chemistry,47685,GRE,2 years
Technical University of Munich,MSc Machine Learning,18198,Merit Based,1 year
University of Oxford,MSc Artificial Intelligence,35890,GATE,1 year
Harvard University,MSc Software Engineering,8700,Entrance Exam,1 year
Massachusetts Institute of Technology,MBA,39813,University Exam,2 years
Vietnam National University Hanoi,MTech Computer Science,35005,Entrance Exam,2 years
Stanford University,MSc Electrical Engineering,26850,Entrance Exam,2 years
Indian Institute of Science,MSc Mathematics,33516,GRE,2 years
Mahidol University,MSc Software Engineering,49209,Interview + Test,1 year
University of Cambridge,MSc Computer Science,20972,Merit Based,1 year
University of Oxford,MSc Chemistry,26596,GATE,2 years
Kyoto University,MSc Software Engineering,33506,University Exam,2 years
Manipal Academy of Higher Education,MSc Mathematics,52964,GRE,1 year
IIT Madras,MSc Civil Engineering,26418,University Exam,1 year
Kyoto University,MCA,28863,Interview + Test,1 year
Vietnam National University Hanoi,MTech Computer Science,33979,GATE,2 years
IIT Bombay,MSc Electrical Engineering,24852,Entrance Exam,2 years
Chulalongkorn University,MSc Cyber Security,46695,Merit Based,1 year
Stanford University,MBA,10826,GRE,2 years
Manipal Academy of Higher Education,MSc Business Analytics,54687,Merit Based,2 years
University of Cambridge,MCA,13542,Interview + Test,2 years
Mahidol University,MSc Data Science,23451,Interview + Test,1 year
Nanyang Technological University,MSc Chemistry,41900,Interview + Test,2 years
University of Tokyo,MTech Computer Science,42499,University Exam,1 year
National University of Singapore,MSc Business Analytics,40947,GRE,1 year
Mahidol University,MSc Machine Learning,13331,Interview + Test,2 years
Chulalongkorn University,MSc Computer Science,23762,University Exam,1 year
Kyoto University,MSc Civil Engineering,37439,GRE,1 year
University of Tokyo,MCA,45051,Interview + Test,2 years
Massachusetts Institute of Technology,MSc Artificial Intelligence,21239,University Exam,2 years
Nanyang Technological University,MSc Civil Engineering,22801,Interview + Test,2 years
Harvard University,MSc Mechanical Engineering,13953,GRE,1 year
University of Oxford,MSc Electrical Engineering,50389,Interview + Test,1 year
Technical University of Munich,MSc Computer Science,11614,Entrance Exam,2 years
Mahidol University,MSc Computer Science,40351,GATE,2 years
Technical University of Munich,MSc Cyber Security,21242,Interview + Test,2 years
Massachusetts Institute of Technology,MBA,41965,GRE,2 years
ETH Zurich,MSc Artificial Intelligence,40575,Entrance Exam,1 year
IIT Delhi,MTech Computer Science,17486,GATE,2 years
Manipal Academy of Higher Education,MSc Chemistry,16824,Interview + Test,1 year
Harvard University,MSc Chemistry,34581,Merit Based,2 years
IIT Bombay,MSc Business Analytics,28061,Entrance Exam,2 years
Technical University of Munich,MSc Artificial Intelligence,27533,Merit Based,1 year
Massachusetts Institute of Technology,MSc Electrical Engineering,20946,Interview + Test,1 year
Chulalongkorn University,MSc Machine Learning,32861,GRE,2 years
IIT Madras,MSc Chemistry,50221,Interview + Test,2 years
Nanyang Technological University,MSc Data Science,11292,Interview + Test,1 year
National University of Singapore,MTech Computer Science,33077,Merit Based,1 year
Manipal Academy of Higher Education,MCA,48464,Entrance Exam,1 year
Mahidol University,MSc Biotechnology,37487,GRE,1 year
Kyoto University,MCA,21835,GATE,1 year
University of Cambridge,MSc Computer Science,47173,Interview + Test,2 years
Technical University of Munich,MSc Software Engineering,23209,Merit Based,2 years
Anna University,MSc Electrical Engineering,25765,GATE,2 years
Vietnam National University Hanoi,MSc Business Analytics,56300,University Exam,2 years
University of Tokyo,MSc Business Analytics,8925,Merit Based,1 year
Massachusetts Institute of Technology,MSc Software Engineering,48345,GRE,2 years
Nanyang Technological University,MCA,38774,GRE,1 year
Chulalongkorn University,MSc Biotechnology,28969,Merit Based,1 year
National University of Singapore,MSc Mathematics,45078,Entrance Exam,2 years
University of Tokyo,MSc Computer Science,31224,University Exam,1 year
Anna University,MSc Civil Engineering,29249,GRE,1 year
Manipal Academy of Higher Education,MSc Artificial Intelligence,28951,GRE,2 years
Technical University of Munich,MSc Mathematics,15643,University Exam,2 years
Vietnam National University Hanoi,MCA,18401,Entrance Exam,2 years
University of Cambridge,MSc Civil Engineering,44043,GRE,2 years
Vietnam National University Hanoi,MSc Electrical Engineering,14099,GATE,1 year
Manipal Academy of Higher Education,MSc Chemistry,49431,Entrance Exam,1 year
University of Delhi,MCA,15294,GATE,1 year
Harvard University,MSc Cyber Security,48414,Entrance Exam,1 year
Indian Institute of Science,MSc Mechanical Engineering,16675,GRE,2 years
Nanyang Technological University,MSc Cyber Security,14165,Entrance Exam,2 years
Anna University,MSc Mechanical Engineering,28866,Interview + Test,1 year
Chulalongkorn University,MSc Business Analytics,21820,Interview + Test,2 years
IIT Madras,MSc Machine Learning,50797,GATE,2 years
Stanford University,MSc Chemistry,8719,Entrance Exam,2 years
Manipal Academy of Higher Education,MSc Business Analytics,39151,University Exam,1 year
University of Oxford,MSc Biotechnology,19485,Merit Based,2 years
IIT Bombay,MBA,52479,Interview + Test,2 years
ETH Zurich,MSc Business Analytics,14860,GATE,1 year
Massachusetts Institute of Technology,MTech Computer Science,56987,University Exam,2 years
Stanford University,MSc Mathematics,22840,GATE,1 year
IIT Bombay,MSc Mathematics,10438,University Exam,2 years
Technical University of Munich,MSc Civil Engineering,52113,GRE,1 year
Anna University,MSc Data Science,28980,Interview + Test,2 years
Harvard University,MBA,18495,Interview + Test,2 years
Indian Institute of Science,MSc Civil Engineering,12788,Merit Based,2 years
Nanyang Technological University,MTech Computer Science,35979,GATE,2 years
University of Oxford,MSc Biotechnology,33654,Interview + Test,1 year
University of Delhi,MSc Machine Learning,8098,Entrance Exam,1 year
ETH Zurich,MSc Software Engineering,53323,Interview + Test,2 years
University of Cambridge,MSc Chemistry,49800,University Exam,2 years
IIT Bombay,MSc Electrical Engineering,36675,Entrance Exam,1 year
Chulalongkorn University,MSc Software Engineering,47476,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Cyber Security,29916,Merit Based,1 year
Vietnam National University Hanoi,MSc Software Engineering,24675,GRE,1 year
ETH Zurich,MSc Business Analytics,40782,GRE,2 years
IIT Madras,MSc Mathematics,44188,University Exam,1 year
IIT Delhi,MSc Civil Engineering,28054,Entrance Exam,1 year
Chulalongkorn University,MSc Computer Science,50437,Entrance Exam,1 year
Vietnam National University Hanoi,MSc Business Analytics,38552,University Exam,2 years
Anna University,MSc Artificial Intelligence,18664,GRE,2 years
University of Cambridge,MSc Physics,55061,GRE,2 years
Nanyang Technological University,MSc Business Analytics,16708,University Exam,2 years
Technical University of Munich,MSc Cyber Security,8465,GATE,2 years
University of Delhi,MSc Machine Learning,16908,University Exam,2 years
Mahidol University,MCA,48664,Entrance Exam,1 year
University of Cambridge,MSc Physics,13355,GATE,1 year
University of Delhi,MCA,17007,Entrance Exam,1 year
Kyoto University,MSc Business Analytics,34457,Interview + Test,1 year
IIT Madras,MSc Mathematics,57123,University Exam,2 years
Massachusetts Institute of Technology,MSc Cyber Security,33639,GRE,2 years
IIT Delhi,MSc Data Science,31349,Interview + Test,2 years
University of Delhi,MTech Computer Science,49094,GATE,2 years
National University of Singapore,MSc Chemistry,51013,Interview + Test,2 years
IIT Madras,MSc Mathematics,45277,Interview + Test,2 years
Technical University of Munich,MSc Software Engineering,33391,Merit Based,2 years
Manipal Academy of Higher Education,MSc Machine Learning,42841,Entrance Exam,1 year
Mahidol University,MSc Data Science,13978,GRE,2 years
Nanyang Technological University,MSc Civil Engineering,56062,University Exam,2 years
IIT Delhi,MSc Computer Science,43314,University Exam,2 years
University of Cambridge,MSc Computer Science,17824,Merit Based,2 years
Manipal Academy of Higher Education,MSc Software Engineering,56363,GATE,2 years
IIT Madras,MBA,22760,Merit Based,2 years
Stanford University,MSc Business Analytics,22028,Entrance Exam,2 years
National University of Singapore,MBA,49968,Entrance Exam,1 year
ETH Zurich,MTech Computer Science,16217,Entrance Exam,1 year
Chulalongkorn University,MSc Mathematics,12882,Merit Based,2 years
IIT Madras,MSc Civil Engineering,27046,Merit Based,1 year
University of Oxford,MSc Mechanical Engineering,42082,GRE,1 year
Massachusetts Institute of Technology,MSc Biotechnology,20100,GATE,1 year
University of Cambridge,MSc Mechanical Engineering,43301,GRE,1 year
IIT Delhi,MSc Software Engineering,21844,Merit Based,2 years
ETH Zurich,MTech Computer Science,49127,University Exam,2 years
Anna University,MSc Computer Science,35651,Merit Based,2 years
IIT Madras,MSc Artificial Intelligence,22839,University Exam,1 year
Indian Institute of Science,MSc Mechanical Engineering,24080,University Exam,1 year
Manipal Academy of Higher Education,MSc Computer Science,42438,Entrance Exam,1 year
Mahidol University,MSc Chemistry,31777,Merit Based,2 years
University of Delhi,MSc Electrical Engineering,14572,GATE,2 years
Anna University,MSc Civil Engineering,19865,GATE,2 years
Harvard University,MBA,29654,Entrance Exam,2 years
IIT Madras,MSc Mechanical Engineering,33114,Entrance Exam,1 year
Mahidol University,MSc Mathematics,23002,Entrance Exam,1 year
University of Tokyo,MSc Machine Learning,18522,Interview + Test,1 year
Mahidol University,MSc Electrical Engineering,10795,GATE,2 years
Stanford University,MSc Mathematics,21938,Entrance Exam,2 years
Kyoto University,MSc Mathematics,23860,GRE,2 years
University of Delhi,MSc Business Analytics,51280,Interview + Test,2 years
IIT Bombay,MSc Data Science,59161,Merit Based,1 year
University of Oxford,MSc Mechanical Engineering,44223,Merit Based,1 year
Kyoto University,MSc Physics,38944,Entrance Exam,1 year
Indian Institute of Science,MSc Mechanical Engineering,57305,Entrance Exam,1 year
Anna University,MCA,23220,GATE,1 year
Stanford University,MTech Computer Science,56420,GATE,2 years
Mahidol University,MSc Mathematics,53676,Merit Based,1 year
IIT Bombay,MSc Business Analytics,41963,University Exam,2 years
Chulalongkorn University,MSc Civil Engineering,54157,Interview + Test,1 year
Nanyang Technological University,MSc Biotechnology,8319,GRE,2 years
Manipal Academy of Higher Education,MSc Business Analytics,16469,University Exam,1 year
IIT Delhi,MTech Computer Science,45228,Interview + Test,2 years
University of Cambridge,MSc Mathematics,46395,Merit Based,1 year
Mahidol University,MSc Machine Learning,44149,Interview + Test,1 year
Stanford University,MTech Computer Science,51091,GATE,2 years
Indian Institute of Science,MSc Biotechnology,29514,GATE,1 year
Technical University of Munich,MSc Business Analytics,8127,University Exam,1 year
University of Cambridge,MCA,52954,GRE,1 year
Chulalongkorn University,MSc Physics,52617,Merit Based,2 years
Mahidol University,MSc Mathematics,22575,Entrance Exam,2 years
IIT Bombay,MSc Machine Learning,32275,GATE,1 year
IIT Bombay,MCA,33540,Merit Based,2 years
University of Oxford,MTech Computer Science,39667,Merit Based,1 year
Nanyang Technological University,MSc Business Analytics,34055,Merit Based,1 year
Nanyang Technological University,MTech Computer Science,28530,Merit Based,1 year
University of Tokyo,MSc Data Science,33340,GRE,2 years
IIT Madras,MSc Electrical Engineering,39121,GATE,1 year
Harvard University,MSc Chemistry,56806,Interview + Test,1 year
National University of Singapore,MSc Data Science,50947,GRE,1 year
IIT Madras,MSc Mathematics,27351,Entrance Exam,1 year
Kyoto University,MSc Cyber Security,56799,Entrance Exam,2 years
Indian Institute of Science,MSc Computer Science,28833,University Exam,1 year
Anna University,MSc Electrical Engineering,50072,Interview + Test,1 year
IIT Madras,MSc Software Engineering,38309,University Exam,1 year
University of Tokyo,MSc Software Engineering,24784,GATE,2 years
Indian Institute of Science,MBA,27562,Entrance Exam,1 year
Chulalongkorn University,MBA,56672,GATE,1 year
Kyoto University,MSc Civil Engineering,33499,Interview + Test,2 years
University of Tokyo,MSc Computer Science,21097,University Exam,2 years
Mahidol University,MSc Data Science,34700,GRE,2 years
Nanyang Technological University,MSc Biotechnology,25928,University Exam,2 years
National University of Singapore,MTech Computer Science,24495,Entrance Exam,2 years
IIT Bombay,MSc Mathematics,50073,GATE,2 years
IIT Madras,MSc Artificial Intelligence,35034,Merit Based,2 years
University of Cambridge,MSc Business Analytics,56681,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Mechanical Engineering,49643,Entrance Exam,1 year
University of Cambridge,MSc Business Analytics,18561,Interview + Test,1 year
Nanyang Technological University,MSc Business Analytics,33574,Interview + Test,1 year
University of Tokyo,MSc Mathematics,9866,GRE,1 year
Anna University,MSc Chemistry,44950,University Exam,2 years
Mahidol University,MSc Electrical Engineering,14482,University Exam,1 year
Harvard University,MSc Artificial Intelligence,57884,Merit Based,2 years
Vietnam National University Hanoi,MSc Mathematics,38874,GRE,1 year
IIT Madras,MSc Cyber Security,31180,University Exam,2 years
Manipal Academy of Higher Education,MSc Software Engineering,16831,GATE,2 years
Stanford University,MSc Biotechnology,44324,GRE,1 year
University of Cambridge,MSc Biotechnology,59512,Merit Based,1 year
Manipal Academy of Higher Education,MCA,31545,University Exam,1 year
Vietnam National University Hanoi,MSc Cyber Security,24586,University Exam,2 years
ETH Zurich,MSc Data Science,51363,Interview + Test,1 year
IIT Delhi,MSc Mathematics,47752,Interview + Test,1 year
Anna University,MSc Business Analytics,31573,University Exam,1 year
Stanford University,MSc Computer Science,51652,Entrance Exam,1 year
IIT Bombay,MSc Biotechnology,15796,Merit Based,2 years
Indian Institute of Science,MTech Computer Science,16995,Interview + Test,2 years
University of Tokyo,MSc Biotechnology,58014,GATE,1 year
Indian Institute of Science,MTech Computer Science,13490,Entrance Exam,2 years
Nanyang Technological University,MSc Machine Learning,18525,GRE,1 year
University of Tokyo,MSc Chemistry,38827,Entrance Exam,2 years
Kyoto University,MSc Civil Engineering,48427,University Exam,2 years
IIT Delhi,MSc Electrical Engineering,57727,GRE,2 years
University of Tokyo,MTech Computer Science,49139,GRE,1 year
Mahidol University,MSc Electrical Engineering,31886,Merit Based,2 years
ETH Zurich,MSc Business Analytics,45319,GRE,2 years
IIT Delhi,MSc Biotechnology,58375,Entrance Exam,1 year
IIT Madras,MCA,57457,Merit Based,2 years
University of Delhi,MSc Chemistry,21485,Entrance Exam,2 years
IIT Bombay,MSc Business Analytics,38559,University Exam,1 year
Nanyang Technological University,MSc Computer Science,33485,GRE,1 year
Nanyang Technological University,MSc Cyber Security,14581,University Exam,2 years
Technical University of Munich,MSc Mechanical Engineering,8729,Merit Based,2 years
Vietnam National University Hanoi,MSc Biotechnology,58389,University Exam,2 years
University of Delhi,MSc Civil Engineering,55551,Entrance Exam,1 year
Mahidol University,MSc Business Analytics,30752,Interview + Test,1 year
Harvard University,MSc Cyber Security,29368,Merit Based,2 years
University of Tokyo,MSc Computer Science,42494,Entrance Exam,2 years
Mahidol University,MSc Cyber Security,21028,Merit Based,1 year
University of Delhi,MSc Artificial Intelligence,45888,Merit Based,1 year
IIT Madras,MTech Computer Science,26127,Entrance Exam,1 year
Technical University of Munich,MTech Computer Science,34188,Interview + Test,1 year
Mahidol University,MSc Business Analytics,12189,Interview + Test,2 years
IIT Delhi,MSc Physics,10068,Merit Based,1 year
Nanyang Technological University,MSc Biotechnology,27944,Interview + Test,2 years
ETH Zurich,MTech Computer Science,40043,Merit Based,2 years
Vietnam National University Hanoi,MSc Electrical Engineering,42500,Interview + Test,2 years
Nanyang Technological University,MSc Mechanical Engineering,32300,Interview + Test,2 years
Indian Institute of Science,MSc Biotechnology,42100,GATE,2 years
University of Cambridge,MSc Electrical Engineering,42207,Merit Based,2 years
Manipal Academy of Higher Education,MSc Computer Science,11693,Entrance Exam,2 years
Nanyang Technological University,MSc Chemistry,47652,GATE,2 years
Stanford University,MSc Software Engineering,35592,Merit Based,1 year
IIT Bombay,MSc Biotechnology,32424,University Exam,1 year
Harvard University,MSc Mathematics,14680,University Exam,1 year
Manipal Academy of Higher Education,MSc Mechanical Engineering,23415,Merit Based,2 years
Mahidol University,MSc Software Engineering,12952,GATE,2 years
Harvard University,MSc Physics,37694,Entrance Exam,2 years
Mahidol University,MSc Mechanical Engineering,56549,Merit Based,1 year
University of Delhi,MSc Computer Science,49821,GATE,1 year
IIT Bombay,MSc Physics,54604,GATE,1 year
IIT Delhi,MSc Cyber Security,41484,University Exam,1 year
IIT Bombay,MSc Business Analytics,48869,University Exam,2 years
University of Oxford,MSc Physics,19392,University Exam,1 year
Anna University,MSc Mechanical Engineering,18847,Interview + Test,2 years
IIT Delhi,MSc Biotechnology,12086,Merit Based,2 years
IIT Delhi,MSc Mathematics,56820,University Exam,2 years
University of Cambridge,MSc Data Science,45953,Interview + Test,2 years
Anna University,MSc Electrical Engineering,8749,GRE,1 year
Stanford University,MSc Artificial Intelligence,27205,GRE,2 years
IIT Delhi,MSc Machine Learning,54374,GATE,1 year
ETH Zurich,MSc Electrical Engineering,27901,Entrance Exam,2 years
Anna University,MSc Software Engineering,42130,Interview + Test,1 year
Anna University,MSc Computer Science,34461,Merit Based,2 years
University of Cambridge,MSc Data Science,11751,Merit Based,2 years
Stanford University,MTech Computer Science,59727,University Exam,1 year
Harvard University,MSc Biotechnology,28737,Entrance Exam,2 years
IIT Bombay,MCA,44053,Interview + Test,2 years
University of Oxford,MSc Machine Learning,46508,GATE,1 year
Chulalongkorn University,MSc Physics,23255,University Exam,2 years
University of Oxford,MSc Data Science,19913,Interview + Test,2 years
University of Cambridge,MSc Data Science,11542,GRE,1 year
Harvard University,MSc Business Analytics,59437,GATE,1 year
Stanford University,MSc Machine Learning,45988,Interview + Test,1 year
University of Oxford,MSc Mechanical Engineering,12060,Merit Based,1 year
University of Tokyo,MTech Computer Science,29808,GRE,1 year
University of Delhi,MSc Mathematics,16626,Interview + Test,1 year
University of Delhi,MCA,17706,University Exam,2 years
Chulalongkorn University,MSc Business Analytics,48928,Merit Based,2 years
Massachusetts Institute of Technology,MBA,29226,Interview + Test,1 year
Technical University of Munich,MSc Business Analytics,32421,Entrance Exam,1 year
Technical University of Munich,MSc Chemistry,16321,Interview + Test,2 years
Harvard University,MCA,13253,Merit Based,2 years
Stanford University,MSc Data Science,19202,Entrance Exam,2 years
Indian Institute of Science,MSc Computer Science,52276,University Exam,2 years
National University of Singapore,MSc Data Science,35028,GATE,1 year
Mahidol University,MSc Civil Engineering,35297,GATE,1 year
University of Oxford,MCA,33212,GRE,2 years
Chulalongkorn University,MSc Software Engineering,40214,Entrance Exam,2 years
Vietnam National University Hanoi,MSc Mathematics,59508,Interview + Test,1 year
IIT Bombay,MTech Computer Science,45522,GATE,2 years
IIT Delhi,MSc Business Analytics,48848,GATE,2 years
IIT Bombay,MSc Mathematics,15176,GRE,1 year
ETH Zurich,MSc Artificial Intelligence,13871,University Exam,2 years
Stanford University,MSc Machine Learning,19371,GATE,2 years
Harvard University,MSc Computer Science,52517,Interview + Test,1 year
Technical University of Munich,MTech Computer Science,15712,GATE,2 years
IIT Delhi,MBA,42784,GATE,2 years
Mahidol University,MSc Data Science,54754,Entrance Exam,1 year
National University of Singapore,MSc Software Engineering,44478,GATE,1 year
Harvard University,MSc Mechanical Engineering,56088,University Exam,1 year
Indian Institute of Science,MSc Machine Learning,20315,Entrance Exam,1 year
ETH Zurich,MCA,18727,GRE,1 year
Stanford University,MSc Mechanical Engineering,16469,GATE,1 year
IIT Delhi,MSc Electrical Engineering,51496,University Exam,2 years
Stanford University,MSc Data Science,26499,GATE,2 years
Massachusetts Institute of Technology,MSc Computer Science,45006,Merit Based,2 years
IIT Bombay,MSc Machine Learning,32983,GATE,1 year
Anna University,MCA,9499,GATE,1 year
University of Delhi,MSc Business Analytics,44232,GATE,2 years
Indian Institute of Science,MSc Civil Engineering,33720,Interview + Test,2 years
Kyoto University,MSc Physics,41786,University Exam,1 year
Anna University,MSc Physics,17490,Merit Based,1 year
University of Delhi,MSc Mathematics,12526,Interview + Test,1 year
Kyoto University,MSc Software Engineering,57118,Merit Based,1 year
University of Tokyo,MSc Chemistry,46597,GRE,2 years
Kyoto University,MSc Computer Science,29322,Merit Based,1 year
Vietnam National University Hanoi,MSc Chemistry,48506,GATE,2 years
Anna University,MCA,11813,Entrance Exam,2 years
IIT Bombay,MSc Biotechnology,25103,Entrance Exam,2 years
Massachusetts Institute of Technology,MTech Computer Science,8474,Entrance Exam,1 year
Mahidol University,MSc Computer Science,11322,GATE,1 year
Harvard University,MSc Electrical Engineering,34004,GATE,2 years
Kyoto University,MSc Software Engineering,30911,University Exam,1 year
IIT Delhi,MSc Electrical Engineering,10855,Entrance Exam,1 year
ETH Zurich,MSc Biotechnology,51581,Merit Based,1 year
Technical University of Munich,MSc Civil Engineering,39078,Merit Based,1 year
Indian Institute of Science,MSc Mathematics,42390,Interview + Test,2 years
University of Cambridge,MSc Physics,27786,GATE,1 year
Manipal Academy of Higher Education,MSc Computer Science,24109,GATE,2 years
IIT Madras,MSc Artificial Intelligence,12080,Interview + Test,2 years
University of Oxford,MCA,21305,GATE,2 years
IIT Madras,MSc Physics,55006,University Exam,1 year
Harvard University,MSc Physics,11958,Interview + Test,1 year
Mahidol University,MSc Cyber Security,24012,Interview + Test,1 year
Technical University of Munich,MSc Chemistry,37284,Entrance Exam,1 year
University of Cambridge,MSc Machine Learning,25616,GATE,2 years
Kyoto University,MSc Computer Science,20305,Entrance Exam,1 year
IIT Bombay,MSc Physics,13476,Merit Based,1 year
Anna University,MSc Mechanical Engineering,13706,University Exam,2 years
University of Oxford,MSc Artificial Intelligence,36492,University Exam,1 year
Technical University of Munich,MSc Mathematics,10316,University Exam,1 year
Massachusetts Institute of Technology,MSc Business Analytics,47299,Entrance Exam,2 years
Stanford University,MSc Mathematics,36876,Merit Based,2 years
Manipal Academy of Higher Education,MSc Chemistry,24914,University Exam,1 year
Chulalongkorn University,MCA,36405,GATE,1 year
Mahidol University,MSc Artificial Intelligence,54453,GRE,1 year
Harvard University,MSc Mechanical Engineering,32147,Interview + Test,2 years
University of Oxford,MSc Cyber Security,34387,Interview + Test,2 years
Vietnam National University Hanoi,MSc Cyber Security,59841,Merit Based,2 years
National University of Singapore,MSc Electrical Engineering,33701,Entrance Exam,2 years
Harvard University,MSc Artificial Intelligence,56624,GRE,1 year
IIT Bombay,MSc Chemistry,39370,Merit Based,2 years
IIT Delhi,MCA,57135,Merit Based,2 years
Stanford University,MTech Computer Science,14916,GRE,2 years
National University of Singapore,MSc Physics,16905,University Exam,2 years
University of Cambridge,MSc Biotechnology,50493,Merit Based,1 year
Nanyang Technological University,MSc Business Analytics,32074,University Exam,2 years
Massachusetts Institute of Technology,MSc Biotechnology,39680,GATE,2 years
Massachusetts Institute of Technology,MSc Chemistry,22926,Merit Based,1 year
Stanford University,MSc Machine Learning,16243,Interview + Test,1 year
