name,location,university_type,accreditation,ranking_score,actual_location
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,8.73,"Munich, Germany"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.72,"Coimbatore, Tamil Nadu, India"
Chulalongkorn University,Thailand,Public,ONESQA,6.55,"Bangkok, Thailand"
University of Tokyo,Japan,Public,MEXT,9.89,"Tokyo, Japan"
University College London,United Kingdom,Public,QAA,8.76,"London, England, UK"
RWTH Aachen University,Germany,Public,German Accreditation Council,9.07,"Aachen, Germany"
University of Edinburgh,United Kingdom,Public,QAA,8.18,"Edinburgh, Scotland, UK"
Kyushu University,Japan,Public,MEXT,8.65,"Fukuoka, Japan"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.77,"Chennai, Tamil Nadu, India"
University of Michigan,USA,Public,HLC,7.6,"Ann Arbor, Michigan, USA"
Indian Institute of Technology Kanpur,India,Public,NAAC A,8.27,"Kanpur, Uttar Pradesh, India"
University of Washington,USA,Public,NWCCU,8.17,"Seattle, Washington, USA"
University of Washington,USA,Public,NWCCU,6.97,"Seattle, Washington, USA"
University of Michigan,USA,Public,HLC,8.11,"Ann Arbor, Michigan, USA"
University of Delhi,India,Public,NAAC A+,8.84,"New Delhi, India"
Nagoya University,Japan,Public,MEXT,7.42,"Nagoya, Japan"
Georgia Institute of Technology,USA,Public,SACSCOC,6.68,"Atlanta, Georgia, USA"
London School of Economics,United Kingdom,Public,QAA,6.66,"London, England, UK"
Kyushu University,Japan,Public,MEXT,6.69,"Fukuoka, Japan"
King's College London,United Kingdom,Public,QAA,7.9,"London, England, UK"
London School of Economics,United Kingdom,Public,QAA,6.97,"London, England, UK"
Harvard University,USA,Private,NECHE,9.76,"Cambridge, Massachusetts, USA"
Stanford University,USA,Private,WASC,9.07,"Stanford, California, USA"
University of California Berkeley,USA,Public,WASC,9.3,"Berkeley, California, USA"
University of California Los Angeles,USA,Public,WASC,6.79,"Los Angeles, California, USA"
Technical University of Munich,Germany,Public,German Accreditation Council,9.86,"Munich, Germany"
Nagoya University,Japan,Public,MEXT,6.63,"Nagoya, Japan"
University of Delhi,India,Public,NAAC A+,9.35,"New Delhi, India"
Imperial College London,United Kingdom,Public,QAA,7.98,"London, England, UK"
Tokyo Institute of Technology,Japan,Public,MEXT,7.55,"Tokyo, Japan"
University of Helsinki,Finland,Public,FINHEEC,7.88,"Helsinki, Finland"
University College London,United Kingdom,Public,QAA,6.78,"London, England, UK"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,7.38,"Leuven, Belgium"
National University of Singapore,Singapore,Public,AACSB,8.51,Singapore
University of California Los Angeles,USA,Public,WASC,7.38,"Los Angeles, California, USA"
University of Cambridge,United Kingdom,Public,QAA,8.82,"Cambridge, England, UK"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,8.83,"Leuven, Belgium"
Osaka University,Japan,Public,MEXT,8.33,"Osaka, Japan"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.78,"Hanoi, Vietnam"
University of Oxford,United Kingdom,Public,QAA,6.89,"Oxford, England, UK"
Christ University,India,Private,NAAC A+,7.37,"Bengaluru, Karnataka, India"
Christ University,India,Private,NAAC A+,8.7,"Bengaluru, Karnataka, India"
Chulalongkorn University,Thailand,Public,ONESQA,8.6,"Bangkok, Thailand"
University of Tokyo,Japan,Public,MEXT,9.5,"Tokyo, Japan"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,9.12,"Ho Chi Minh City, Vietnam"
University of Michigan,USA,Public,HLC,9.27,"Ann Arbor, Michigan, USA"
Sorbonne University,France,Public,HCERES,8.15,"Paris, France"
Singapore Management University,Singapore,Public,AACSB,7.7,Singapore
University of Michigan,USA,Public,HLC,8.37,"Ann Arbor, Michigan, USA"
Ton Duc Thang University,Vietnam,Public,MOET,7.04,"Ho Chi Minh City, Vietnam"
Technical University of Munich,Germany,Public,German Accreditation Council,6.7,"Munich, Germany"
University of Delhi,India,Public,NAAC A+,7.87,"New Delhi, India"
Ton Duc Thang University,Vietnam,Public,MOET,7.13,"Ho Chi Minh City, Vietnam"
Manipal Academy of Higher Education,India,Private,NAAC A++,8.27,"Manipal, Karnataka, India"
University of Washington,USA,Public,NWCCU,8.91,"Seattle, Washington, USA"
Heidelberg University,Germany,Public,German Accreditation Council,8.18,"Heidelberg, Germany"
California Institute of Technology,USA,Private,WASC,7.91,"Pasadena, California, USA"
Kyoto University,Japan,Public,MEXT,7.5,"Kyoto, Japan"
University of California Berkeley,USA,Public,WASC,7.21,"Berkeley, California, USA"
University of Chicago,USA,Private,HLC,7.37,"Chicago, Illinois, USA"
Indian Institute of Technology Kanpur,India,Public,NAAC A,7.92,"Kanpur, Uttar Pradesh, India"
Princeton University,USA,Private,MSCHE,9.41,"Princeton, New Jersey, USA"
Kyoto University,Japan,Public,MEXT,7.76,"Kyoto, Japan"
California Institute of Technology,USA,Private,WASC,7.44,"Pasadena, California, USA"
University of Hyderabad,India,Public,NAAC A,8.35,"Hyderabad, Telangana, India"
Tohoku University,Japan,Public,MEXT,8.29,"Sendai, Japan"
University of Delhi,India,Public,NAAC A+,9.83,"New Delhi, India"
Stanford University,USA,Private,WASC,8.58,"Stanford, California, USA"
University of Oxford,United Kingdom,Public,QAA,7.18,"Oxford, England, UK"
Massachusetts Institute of Technology,USA,Private,ABET,9.4,"Cambridge, Massachusetts, USA"
Indian Institute of Technology Delhi,India,Public,NAAC A,9.31,"New Delhi, India"
Tohoku University,Japan,Public,MEXT,8.92,"Sendai, Japan"
Technical University of Munich,Germany,Public,German Accreditation Council,8.67,"Munich, Germany"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,9.81,"Bangkok, Thailand"
University of California Los Angeles,USA,Public,WASC,7.84,"Los Angeles, California, USA"
Hanoi University of Science and Technology,Vietnam,Public,MOET,9.65,"Hanoi, Vietnam"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,7.04,"Kharagpur, West Bengal, India"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,8.15,"Karlsruhe, Germany"
University of Edinburgh,United Kingdom,Public,QAA,7.4,"Edinburgh, Scotland, UK"
Hanoi University of Science and Technology,Vietnam,Public,MOET,9.67,"Hanoi, Vietnam"
Indian Institute of Technology Kanpur,India,Public,NAAC A,6.55,"Kanpur, Uttar Pradesh, India"
University of Copenhagen,Denmark,Public,Danish Accreditation,6.86,"Copenhagen, Denmark"
University of Cambridge,United Kingdom,Public,QAA,7.05,"Cambridge, England, UK"
Columbia University,USA,Private,MSCHE,7.99,"New York City, New York, USA"
Columbia University,USA,Private,MSCHE,6.93,"New York City, New York, USA"
Tokyo Institute of Technology,Japan,Public,MEXT,7.06,"Tokyo, Japan"
Heidelberg University,Germany,Public,German Accreditation Council,7.71,"Heidelberg, Germany"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,8.37,"Karlsruhe, Germany"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,7.89,"Bangkok, Thailand"
Chulalongkorn University,Thailand,Public,ONESQA,7.27,"Bangkok, Thailand"
Indian Institute of Technology Roorkee,India,Public,NAAC A,7.75,"Roorkee, Uttarakhand, India"
Imperial College London,United Kingdom,Public,QAA,7.44,"London, England, UK"
Ton Duc Thang University,Vietnam,Public,MOET,8.16,"Ho Chi Minh City, Vietnam"
University of Amsterdam,Netherlands,Public,NVAO,8.29,"Amsterdam, Netherlands"
Indian Institute of Technology Madras,India,Public,NAAC A++,9.03,"Chennai, Tamil Nadu, India"
Christ University,India,Private,NAAC A+,8.92,"Bengaluru, Karnataka, India"
Indian Institute of Technology Kanpur,India,Public,NAAC A,7.39,"Kanpur, Uttar Pradesh, India"
Manipal Academy of Higher Education,India,Private,NAAC A++,8.57,"Manipal, Karnataka, India"
University of Edinburgh,United Kingdom,Public,QAA,6.63,"Edinburgh, Scotland, UK"
Georgia Institute of Technology,USA,Public,SACSCOC,6.62,"Atlanta, Georgia, USA"
University of Warwick,United Kingdom,Public,QAA,6.62,"Coventry, England, UK"
Osaka University,Japan,Public,MEXT,9.35,"Osaka, Japan"
Indian Institute of Technology Bombay,India,Public,NAAC A,8.69,"Mumbai, Maharashtra, India"
Jadavpur University,India,Public,NAAC A,9.03,"Kolkata, West Bengal, India"
Princeton University,USA,Private,MSCHE,9.28,"Princeton, New Jersey, USA"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,7.21,"Ho Chi Minh City, Vietnam"
Vietnam National University Hanoi,Vietnam,Public,MOET,8.05,"Hanoi, Vietnam"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.69,"Chennai, Tamil Nadu, India"
Carnegie Mellon University,USA,Private,MSCHE,6.72,"Pittsburgh, Pennsylvania, USA"
Tokyo Institute of Technology,Japan,Public,MEXT,8.87,"Tokyo, Japan"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,7.38,"Karlsruhe, Germany"
University of Hyderabad,India,Public,NAAC A,9.1,"Hyderabad, Telangana, India"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,8.18,"Munich, Germany"
University College London,United Kingdom,Public,QAA,7.08,"London, England, UK"
Nanyang Technological University,Singapore,Public,AACSB,8.3,Singapore
University of Amsterdam,Netherlands,Public,NVAO,8.48,"Amsterdam, Netherlands"
Stanford University,USA,Private,WASC,8.97,"Stanford, California, USA"
Thammasat University,Thailand,Public,ONESQA,9.27,"Bangkok, Thailand"
Christ University,India,Private,NAAC A+,6.67,"Bengaluru, Karnataka, India"
Delft University of Technology,Netherlands,Public,NVAO,6.91,"Delft, Netherlands"
Stanford University,USA,Private,WASC,9.75,"Stanford, California, USA"
Carnegie Mellon University,USA,Private,MSCHE,8.49,"Pittsburgh, Pennsylvania, USA"
Stanford University,USA,Private,WASC,6.78,"Stanford, California, USA"
Princeton University,USA,Private,MSCHE,6.74,"Princeton, New Jersey, USA"
University of Tokyo,Japan,Public,MEXT,9.0,"Tokyo, Japan"
Columbia University,USA,Private,MSCHE,9.04,"New York City, New York, USA"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,7.76,"Karlsruhe, Germany"
Kyoto University,Japan,Public,MEXT,7.01,"Kyoto, Japan"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.41,"Munich, Germany"
Tokyo Institute of Technology,Japan,Public,MEXT,9.5,"Tokyo, Japan"
University of Edinburgh,United Kingdom,Public,QAA,6.62,"Edinburgh, Scotland, UK"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,7.85,"Kharagpur, West Bengal, India"
University College London,United Kingdom,Public,QAA,9.88,"London, England, UK"
London School of Economics,United Kingdom,Public,QAA,8.78,"London, England, UK"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,8.37,"Munich, Germany"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.69,"Coimbatore, Tamil Nadu, India"
Thammasat University,Thailand,Public,ONESQA,7.21,"Bangkok, Thailand"
Manipal Academy of Higher Education,India,Private,NAAC A++,9.5,"Manipal, Karnataka, India"
University of Delhi,India,Public,NAAC A+,7.53,"New Delhi, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.63,"Lausanne, Switzerland"
University of Amsterdam,Netherlands,Public,NVAO,7.92,"Amsterdam, Netherlands"
Carnegie Mellon University,USA,Private,MSCHE,9.29,"Pittsburgh, Pennsylvania, USA"
Tokyo Institute of Technology,Japan,Public,MEXT,9.03,"Tokyo, Japan"
Massachusetts Institute of Technology,USA,Private,ABET,9.37,"Cambridge, Massachusetts, USA"
California Institute of Technology,USA,Private,WASC,9.62,"Pasadena, California, USA"
Princeton University,USA,Private,MSCHE,6.66,"Princeton, New Jersey, USA"
Mahidol University,Thailand,Public,ONESQA,9.33,"Nakhon Pathom, Thailand"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.01,"Coimbatore, Tamil Nadu, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.02,"Lausanne, Switzerland"
University of Washington,USA,Public,NWCCU,8.65,"Seattle, Washington, USA"
Indian Institute of Science,India,Public,NAAC A++,9.62,"Bengaluru, Karnataka, India"
Tohoku University,Japan,Public,MEXT,6.72,"Sendai, Japan"
Columbia University,USA,Private,MSCHE,8.92,"New York City, New York, USA"
University of Chicago,USA,Private,HLC,9.47,"Chicago, Illinois, USA"
University of Amsterdam,Netherlands,Public,NVAO,8.47,"Amsterdam, Netherlands"
Georgia Institute of Technology,USA,Public,SACSCOC,7.23,"Atlanta, Georgia, USA"
University of Warwick,United Kingdom,Public,QAA,7.03,"Coventry, England, UK"
Indian Institute of Technology Roorkee,India,Public,NAAC A,7.66,"Roorkee, Uttarakhand, India"
King's College London,United Kingdom,Public,QAA,9.75,"London, England, UK"
Hokkaido University,Japan,Public,MEXT,8.38,"Sapporo, Japan"
Imperial College London,United Kingdom,Public,QAA,7.64,"London, England, UK"
Heidelberg University,Germany,Public,German Accreditation Council,9.02,"Heidelberg, Germany"
Princeton University,USA,Private,MSCHE,8.05,"Princeton, New Jersey, USA"
Nanyang Technological University,Singapore,Public,AACSB,9.52,Singapore
University of Washington,USA,Public,NWCCU,7.2,"Seattle, Washington, USA"
University of Helsinki,Finland,Public,FINHEEC,9.83,"Helsinki, Finland"
California Institute of Technology,USA,Private,WASC,7.23,"Pasadena, California, USA"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,9.72,"Munich, Germany"
University of Oxford,United Kingdom,Public,QAA,9.13,"Oxford, England, UK"
University of Hyderabad,India,Public,NAAC A,8.03,"Hyderabad, Telangana, India"
Kyoto University,Japan,Public,MEXT,8.9,"Kyoto, Japan"
University of California Los Angeles,USA,Public,WASC,7.75,"Los Angeles, California, USA"
University of Bristol,United Kingdom,Public,QAA,9.29,"Bristol, England, UK"
University of Michigan,USA,Public,HLC,8.89,"Ann Arbor, Michigan, USA"
University of Cambridge,United Kingdom,Public,QAA,8.62,"Cambridge, England, UK"
University of Warwick,United Kingdom,Public,QAA,8.07,"Coventry, England, UK"
Kyushu University,Japan,Public,MEXT,6.61,"Fukuoka, Japan"
University of Amsterdam,Netherlands,Public,NVAO,9.08,"Amsterdam, Netherlands"
Imperial College London,United Kingdom,Public,QAA,7.84,"London, England, UK"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,8.57,"Ho Chi Minh City, Vietnam"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.24,"Munich, Germany"
London School of Economics,United Kingdom,Public,QAA,9.69,"London, England, UK"
California Institute of Technology,USA,Private,WASC,7.46,"Pasadena, California, USA"
University of Manchester,United Kingdom,Public,QAA,6.56,"Manchester, England, UK"
Indian Institute of Technology Roorkee,India,Public,NAAC A,8.27,"Roorkee, Uttarakhand, India"
Yale University,USA,Private,NECHE,9.43,"New Haven, Connecticut, USA"
Nanyang Technological University,Singapore,Public,AACSB,8.7,Singapore
Tohoku University,Japan,Public,MEXT,9.35,"Sendai, Japan"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,7.4,"Zurich, Switzerland"
Jadavpur University,India,Public,NAAC A,7.59,"Kolkata, West Bengal, India"
Ton Duc Thang University,Vietnam,Public,MOET,7.11,"Ho Chi Minh City, Vietnam"
Imperial College London,United Kingdom,Public,QAA,9.02,"London, England, UK"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.07,"Leuven, Belgium"
Manipal Academy of Higher Education,India,Private,NAAC A++,6.75,"Manipal, Karnataka, India"
University of Edinburgh,United Kingdom,Public,QAA,9.38,"Edinburgh, Scotland, UK"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.25,"Coimbatore, Tamil Nadu, India"
Tohoku University,Japan,Public,MEXT,9.46,"Sendai, Japan"
University of California Berkeley,USA,Public,WASC,7.46,"Berkeley, California, USA"
Indian Institute of Science,India,Public,NAAC A++,7.79,"Bengaluru, Karnataka, India"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,9.22,"Karlsruhe, Germany"
Jawaharlal Nehru University,India,Public,NAAC A++,9.61,"New Delhi, India"
Singapore Management University,Singapore,Public,AACSB,9.46,Singapore
University of Tokyo,Japan,Public,MEXT,7.83,"Tokyo, Japan"
Manipal Academy of Higher Education,India,Private,NAAC A++,8.01,"Manipal, Karnataka, India"
Osaka University,Japan,Public,MEXT,7.37,"Osaka, Japan"
Stanford University,USA,Private,WASC,9.33,"Stanford, California, USA"
Chulalongkorn University,Thailand,Public,ONESQA,8.99,"Bangkok, Thailand"
Ton Duc Thang University,Vietnam,Public,MOET,7.69,"Ho Chi Minh City, Vietnam"
Yale University,USA,Private,NECHE,9.13,"New Haven, Connecticut, USA"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.5,"Coimbatore, Tamil Nadu, India"
Columbia University,USA,Private,MSCHE,8.05,"New York City, New York, USA"
Ton Duc Thang University,Vietnam,Public,MOET,8.93,"Ho Chi Minh City, Vietnam"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.97,"Lausanne, Switzerland"
Kyoto University,Japan,Public,MEXT,8.46,"Kyoto, Japan"
Indian Institute of Technology Bombay,India,Public,NAAC A,6.61,"Mumbai, Maharashtra, India"
Sorbonne University,France,Public,HCERES,7.85,"Paris, France"
University of Paris,France,Public,HCERES,8.96,"Paris, France"
Technical University of Munich,Germany,Public,German Accreditation Council,6.89,"Munich, Germany"
University of Amsterdam,Netherlands,Public,NVAO,9.9,"Amsterdam, Netherlands"
University of Delhi,India,Public,NAAC A+,8.79,"New Delhi, India"
University of Edinburgh,United Kingdom,Public,QAA,9.12,"Edinburgh, Scotland, UK"
Indian Institute of Technology Delhi,India,Public,NAAC A,6.66,"New Delhi, India"
Yale University,USA,Private,NECHE,8.37,"New Haven, Connecticut, USA"
Carnegie Mellon University,USA,Private,MSCHE,9.44,"Pittsburgh, Pennsylvania, USA"
University of Texas Austin,USA,Public,SACSCOC,9.28,"Austin, Texas, USA"
Indian Institute of Science,India,Public,NAAC A++,9.39,"Bengaluru, Karnataka, India"
University of Manchester,United Kingdom,Public,QAA,7.59,"Manchester, England, UK"
Manipal Academy of Higher Education,India,Private,NAAC A++,7.63,"Manipal, Karnataka, India"
Imperial College London,United Kingdom,Public,QAA,8.59,"London, England, UK"
Kyushu University,Japan,Public,MEXT,9.33,"Fukuoka, Japan"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,8.26,"Ho Chi Minh City, Vietnam"
University of Michigan,USA,Public,HLC,9.01,"Ann Arbor, Michigan, USA"
Singapore Management University,Singapore,Public,AACSB,9.87,Singapore
California Institute of Technology,USA,Private,WASC,6.75,"Pasadena, California, USA"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,8.55,"Bangkok, Thailand"
University of Hyderabad,India,Public,NAAC A,7.27,"Hyderabad, Telangana, India"
Stanford University,USA,Private,WASC,6.94,"Stanford, California, USA"
Mahidol University,Thailand,Public,ONESQA,6.65,"Nakhon Pathom, Thailand"
Yale University,USA,Private,NECHE,8.23,"New Haven, Connecticut, USA"
Anna University,India,Public,NAAC A+,9.69,"Chennai, Tamil Nadu, India"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.82,"Hanoi, Vietnam"
King's College London,United Kingdom,Public,QAA,8.02,"London, England, UK"
University of Amsterdam,Netherlands,Public,NVAO,8.39,"Amsterdam, Netherlands"
University of California Berkeley,USA,Public,WASC,8.2,"Berkeley, California, USA"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,8.69,"Bangkok, Thailand"
Tokyo Institute of Technology,Japan,Public,MEXT,9.16,"Tokyo, Japan"
King's College London,United Kingdom,Public,QAA,9.01,"London, England, UK"
Mahidol University,Thailand,Public,ONESQA,9.37,"Nakhon Pathom, Thailand"
Carnegie Mellon University,USA,Private,MSCHE,9.25,"Pittsburgh, Pennsylvania, USA"
Vietnam National University Hanoi,Vietnam,Public,MOET,8.81,"Hanoi, Vietnam"
Princeton University,USA,Private,MSCHE,6.91,"Princeton, New Jersey, USA"
Anna University,India,Public,NAAC A+,6.6,"Chennai, Tamil Nadu, India"
University of Tokyo,Japan,Public,MEXT,7.62,"Tokyo, Japan"
California Institute of Technology,USA,Private,WASC,6.95,"Pasadena, California, USA"
Osaka University,Japan,Public,MEXT,8.43,"Osaka, Japan"
University of Warwick,United Kingdom,Public,QAA,9.37,"Coventry, England, UK"
Indian Institute of Science,India,Public,NAAC A++,7.76,"Bengaluru, Karnataka, India"
Jadavpur University,India,Public,NAAC A,7.94,"Kolkata, West Bengal, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,7.22,"Coimbatore, Tamil Nadu, India"
University of Cambridge,United Kingdom,Public,QAA,7.75,"Cambridge, England, UK"
Indian Institute of Technology Roorkee,India,Public,NAAC A,8.08,"Roorkee, Uttarakhand, India"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,8.42,"Zurich, Switzerland"
Christ University,India,Private,NAAC A+,8.91,"Bengaluru, Karnataka, India"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,8.83,"Kharagpur, West Bengal, India"
Technical University of Munich,Germany,Public,German Accreditation Council,8.97,"Munich, Germany"
University of Helsinki,Finland,Public,FINHEEC,7.19,"Helsinki, Finland"
University of Paris,France,Public,HCERES,7.61,"Paris, France"
University of Amsterdam,Netherlands,Public,NVAO,8.42,"Amsterdam, Netherlands"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,6.51,"Karlsruhe, Germany"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.89,"Chennai, Tamil Nadu, India"
Yale University,USA,Private,NECHE,7.23,"New Haven, Connecticut, USA"
Kyoto University,Japan,Public,MEXT,8.39,"Kyoto, Japan"
Mahidol University,Thailand,Public,ONESQA,8.55,"Nakhon Pathom, Thailand"
Chulalongkorn University,Thailand,Public,ONESQA,7.78,"Bangkok, Thailand"
University of Bristol,United Kingdom,Public,QAA,6.52,"Bristol, England, UK"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,6.83,"Zurich, Switzerland"
Hokkaido University,Japan,Public,MEXT,7.58,"Sapporo, Japan"
University of Cambridge,United Kingdom,Public,QAA,9.84,"Cambridge, England, UK"
Indian Institute of Technology Roorkee,India,Public,NAAC A,9.2,"Roorkee, Uttarakhand, India"
Tokyo Institute of Technology,Japan,Public,MEXT,9.73,"Tokyo, Japan"
University of California Los Angeles,USA,Public,WASC,6.75,"Los Angeles, California, USA"
University of California Berkeley,USA,Public,WASC,8.75,"Berkeley, California, USA"
Yale University,USA,Private,NECHE,8.46,"New Haven, Connecticut, USA"
Massachusetts Institute of Technology,USA,Private,ABET,8.73,"Cambridge, Massachusetts, USA"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.86,"Kharagpur, West Bengal, India"
University of Copenhagen,Denmark,Public,Danish Accreditation,7.85,"Copenhagen, Denmark"
University of Hyderabad,India,Public,NAAC A,7.29,"Hyderabad, Telangana, India"
University College London,United Kingdom,Public,QAA,8.48,"London, England, UK"
RWTH Aachen University,Germany,Public,German Accreditation Council,7.72,"Aachen, Germany"
Yale University,USA,Private,NECHE,6.77,"New Haven, Connecticut, USA"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.57,"Lausanne, Switzerland"
Delft University of Technology,Netherlands,Public,NVAO,7.45,"Delft, Netherlands"
Indian Institute of Technology Roorkee,India,Public,NAAC A,9.08,"Roorkee, Uttarakhand, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.85,"Coimbatore, Tamil Nadu, India"
Ton Duc Thang University,Vietnam,Public,MOET,7.02,"Ho Chi Minh City, Vietnam"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,6.81,"Zurich, Switzerland"
Indian Institute of Technology Madras,India,Public,NAAC A++,6.78,"Chennai, Tamil Nadu, India"
University College London,United Kingdom,Public,QAA,9.7,"London, England, UK"
Kyushu University,Japan,Public,MEXT,9.54,"Fukuoka, Japan"
Nanyang Technological University,Singapore,Public,AACSB,8.53,Singapore
University of Helsinki,Finland,Public,FINHEEC,7.28,"Helsinki, Finland"
Hanoi University of Science and Technology,Vietnam,Public,MOET,8.1,"Hanoi, Vietnam"
Stanford University,USA,Private,WASC,6.52,"Stanford, California, USA"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,7.9,"Zurich, Switzerland"
London School of Economics,United Kingdom,Public,QAA,7.7,"London, England, UK"
Carnegie Mellon University,USA,Private,MSCHE,8.51,"Pittsburgh, Pennsylvania, USA"
Indian Institute of Technology Madras,India,Public,NAAC A++,9.85,"Chennai, Tamil Nadu, India"
Anna University,India,Public,NAAC A+,8.84,"Chennai, Tamil Nadu, India"
California Institute of Technology,USA,Private,WASC,8.68,"Pasadena, California, USA"
Imperial College London,United Kingdom,Public,QAA,9.49,"London, England, UK"
University College London,United Kingdom,Public,QAA,9.7,"London, England, UK"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,7.92,"Ho Chi Minh City, Vietnam"
University of Bristol,United Kingdom,Public,QAA,7.11,"Bristol, England, UK"
University of Bristol,United Kingdom,Public,QAA,8.42,"Bristol, England, UK"
University of Paris,France,Public,HCERES,7.76,"Paris, France"
Indian Institute of Technology Bombay,India,Public,NAAC A,9.79,"Mumbai, Maharashtra, India"
University College London,United Kingdom,Public,QAA,7.88,"London, England, UK"
Ton Duc Thang University,Vietnam,Public,MOET,7.95,"Ho Chi Minh City, Vietnam"
Mahidol University,Thailand,Public,ONESQA,9.11,"Nakhon Pathom, Thailand"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,6.63,"Leuven, Belgium"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.36,"Lausanne, Switzerland"
California Institute of Technology,USA,Private,WASC,8.06,"Pasadena, California, USA"
Ton Duc Thang University,Vietnam,Public,MOET,7.74,"Ho Chi Minh City, Vietnam"
Indian Institute of Technology Delhi,India,Public,NAAC A,6.55,"New Delhi, India"
Thammasat University,Thailand,Public,ONESQA,8.07,"Bangkok, Thailand"
University of Oxford,United Kingdom,Public,QAA,9.35,"Oxford, England, UK"
Indian Institute of Technology Madras,India,Public,NAAC A++,7.16,"Chennai, Tamil Nadu, India"
Imperial College London,United Kingdom,Public,QAA,6.89,"London, England, UK"
Hokkaido University,Japan,Public,MEXT,9.14,"Sapporo, Japan"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.14,"Leuven, Belgium"
Indian Institute of Science,India,Public,NAAC A++,8.55,"Bengaluru, Karnataka, India"
University of Bristol,United Kingdom,Public,QAA,8.33,"Bristol, England, UK"
Sorbonne University,France,Public,HCERES,8.54,"Paris, France"
Indian Institute of Technology Delhi,India,Public,NAAC A,7.06,"New Delhi, India"
University of Delhi,India,Public,NAAC A+,9.81,"New Delhi, India"
University of Paris,France,Public,HCERES,6.99,"Paris, France"
Stanford University,USA,Private,WASC,7.53,"Stanford, California, USA"
Thammasat University,Thailand,Public,ONESQA,8.48,"Bangkok, Thailand"
University of Amsterdam,Netherlands,Public,NVAO,9.74,"Amsterdam, Netherlands"
University of Texas Austin,USA,Public,SACSCOC,7.52,"Austin, Texas, USA"
University of California Los Angeles,USA,Public,WASC,6.76,"Los Angeles, California, USA"
Indian Institute of Technology Kanpur,India,Public,NAAC A,6.55,"Kanpur, Uttar Pradesh, India"
Hanoi University of Science and Technology,Vietnam,Public,MOET,7.19,"Hanoi, Vietnam"
Ton Duc Thang University,Vietnam,Public,MOET,8.67,"Ho Chi Minh City, Vietnam"
University of Texas Austin,USA,Public,SACSCOC,6.74,"Austin, Texas, USA"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,8.97,"Bangkok, Thailand"
Massachusetts Institute of Technology,USA,Private,ABET,7.85,"Cambridge, Massachusetts, USA"
